Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
217,mack 10,,know,got,ain't,niggas,nigga,mack,cause,shit,might,hood,yeah,now,want,keep,tight,28,94,134,228
218,ashanti,,,,,,,,,,,,,,,,,28,117,18,135
219,da grin,,,,,,,,,,,,,,,,,28,1,0,1
220,angel haze,,man,know,shit,bitches,feel,fucking,impossible,see,ain't,love,got,never,im,yeah,fuck,2,20,127,147
221,50 cent,,got,ain't,yeah,shit,girl,now,go,nigga,back,know,see,want,smoke,wave,put,28,153,31,184
222,david banner,,,,,,,,,,,,,,,,,28,67,51,118
223,frankie j,,,,,,,,,,,,,,,,,28,41,12,53
224,doe b,,,,,,,,,,,,,,,,,2,12,29,41
225,chingy,,,,,,,,,,,,,,,,,28,56,21,77
226,kelis,,,,,,,,,,,,,,,,,28,73,9,82
227,smitty,,,,,,,,,,,,,,,,,72,8,0,8
228,blood raw,,,,,,,,,,,,,,,,,28,10,9,19
229,ja rule,,back,gon',clap,know,niggas,nigga,callin,never,take,'em,getting,ain't,rule,got,see,28,114,76,190
230,88-keys,,,,,,,,,,,,,,,,,29,14,45,59
231,glasses malone,,,,,,,,,,,,,,,,,72,62,28,90
232,maino,,la,now,see,nigga,man,hater,hi,look,yeah,hard,niggas,hustle,yea,came,might,29,120,39,159
233,talib kweli,,got,gotta,live,ain't,give,people,life,make,city,now,let,go,work,yeah,need,29,217,45,262
234,big boi,,know,keep,ya,go,now,grind,stack,one,thom,pettie,yeah,sleep,night,ho,callin',28,70,112,182
235,oj da juiceman,,,,,,,,,,,,,,,,,28,72,17,89
236,tory lanez,,baby,know,oh,love,yeah,got,ride,road,ain't,believe,tonight,let,time,new,fuck,2,219,35,254
237,sean paul,,yuh,di,dem,girl,yow,nuh,wi,ah,fi,man,good,mi,inna,mek,give,28,200,15,215
238,jeremih,,buh,now,know,got,worthy,yeah,headboards,see,keep,one,ain't,want,let,right,need,2,229,30,259
239,roscoe,,,,,,,,,,,,,,,,,72,45,99,144
240,juelz santana,,good,murder,yeah,back,old,clockwork,see,know,mumurder,easy,wanna,tick,come,work,ayy,28,115,35,150
241,jazze pha,,done,country,boys,vertical,big,fat,wheels,peep,grills,hell,y'all,boy,awww,awnaw,naw,28,74,125,199
242,big body bes,,,,,,,,,,,,,,,,,29,17,68,85
243,young buck,,got,bitch,money,streets,nigga,niggas,ain't,done,back,bought,put,shit,y'all,told,go,28,146,21,167
244,snoop dogg,,yeah,see,dogg,sho,em,right,love,snoop,lemme,wrong,booty,new,'cause,wanna,think,28,522,93,615
245,busta rhymes,,nigga,everybody,niggas,rise,make,take,shit,see,got,now,ya,baby,give,world,back,28,335,69,404
246,afroman,,,,,,,,,,,,,,,,,28,40,4,44
247,aesop rock,,,,,,,,,,,,,,,,,29,57,25,82
248,pharoahe monch,,fuck,yo,right,queens,now,shit,nigga,want,got,hold,money,niggas,yeah,need,man,29,110,95,205
249,20syl,,,,,,,,,,,,,,,,,5,12,30,42
250,sefyu,,,,,,,,,,,,,,,,,5,13,39,52
251,black milk,,,,,,,,,,,,,,,,,29,37,36,73
252,oddisee,,,,,,,,,,,,,,,,,29,39,17,56
253,orelsan,,,,,,,,,,,,,,,,,5,24,41,65
254,seth gueko,,,,,,,,,,,,,,,,,5,23,23,46
255,lomepal,,,,,,,,,,,,,,,,,5,8,48,56
256,nessbeal,,,,,,,,,,,,,,,,,5,11,38,49
257,salif,,,,,,,,,,,,,,,,,5,10,3,13
258,youssoupha,,,,,,,,,,,,,,,,,5,28,8,36
259,michael franti,,,,,,,,,,,,,,,,,28,5,5,10
260,kenny segal,,,,,,,,,,,,,,,,,29,14,31,45
261,booba,,,,,,,,,,,,,,,,,5,32,13,45
262,disiz,,,,,,,,,,,,,,,,,5,29,36,65
263,sango,,,,,,,,,,,,,,,,,2,16,8,24
264,hamza,,,,,,,,,,,,,,,,,5,32,14,46
265,mr. j. medeiros,,,,,,,,,,,,,,,,,29,7,9,16
266,kaaris,,,,,,,,,,,,,,,,,5,26,27,53
267,ninho,,,,,,,,,,,,,,,,,5,29,15,44
268,demon one,,,,,,,,,,,,,,,,,5,17,0,17
269,dry,,,,,,,,,,,,,,,,,5,16,0,16
270,fashawn,,,,,,,,,,,,,,,,,29,70,26,96
271,oxmo puccino,,,,,,,,,,,,,,,,,5,21,36,57
272,gims,,,,,,,,,,,,,,,,,5,29,17,46
273,m&#233;dine,,,,,,,,,,,,,,,,,5,10,24,34
274,georgia anne muldrow,,,,,,,,,,,,,,,,,29,51,10,61
275,sinik,,,,,,,,,,,,,,,,,5,14,30,44
276,pigeon john,,,,,,,,,,,,,,,,,29,34,21,55
277,sofiane,,,,,,,,,,,,,,,,,5,34,3,37
278,illa j,,,,,,,,,,,,,,,,,29,28,20,48
279,21 savage,,niggas,nigga,21,steppin',got,bitch,fuck,yeah,pull,straight,ain't,cake,lord,gang,keep,2,152,36,188
280,offset,,hey,woo,nigga,'em,yeah,got,skrrt,hit,hard,ain't,go,put,never,know,bitch,2,170,96,266
281,ilovemakonnen,,,,,,,,,,,,,,,,,2,16,22,38
282,fireboy dml,,,,,,,,,,,,,,,,,6,24,35,59
283,wizkid,,,,,,,,,,,,,,,,,6,96,19,115
284,nas,,forever,cause,let,know,got,give,see,away,baby,world,man,drive,fall,apart,plan,28,272,30,302
285,summer walker,,oh,know,yeah,need,say,wanna,love,let,go,shit,ain't,fuck,baby,want,nigga,2,134,93,227
286,g herbo,,ain't,shit,niggas,nigga,time,got,now,see,know,yeah,uh,remember,one,life,head,2,123,32,155
287,young nudy,,,,,,,,,,,,,,,,,2,42,14,56
288,sauce walka,,,,,,,,,,,,,,,,,72,31,15,46
289,bia,,,,,,,,,,,,,,,,,5,60,35,95
290,blxst,,,,,,,,,,,,,,,,,2,70,43,113
291,gunna,,got,yeah,ooh,shit,nigga,flooded,ice,back,ain't,paid,i'ma,see,know,came,us,2,244,39,283
292,nardo wick,,,,,,,,,,,,,,,,,2,44,93,137
293,sahbabii,,,,,,,,,,,,,,,,,2,12,96,108
294,ybn nahmir,,,,,,,,,,,,,,,,,2,46,21,67
295,jimmy wopo,,,,,,,,,,,,,,,,,2,10,31,41
296,dj khaled,,money,wanna,got,talk,im,best,now,let,ain't,nigga,talkin',alright,make,easy,bitch,28,86,103,189
297,king von,,,,,,,,,,,,,,,,,2,33,110,143
298,metro boomin,,chanel,vintage,want,nigga,yeah,now,time,thugger,ran,check,niggas,see,got,metro,roof,2,23,158,181
299,22gz,,,,,,,,,,,,,,,,,2,48,2,50
300,quin nfn,,,,,,,,,,,,,,,,,2,11,5,16
301,24hrs,,,,,,,,,,,,,,,,,2,45,31,76
302,hit-boy,,,,,,,,,,,,,,,,,2,78,22,100
303,futuristic,,,,,,,,,,,,,,,,,72,28,23,51
304,kap g,,,,,,,,,,,,,,,,,2,41,7,48
305,casey veggies,,,,,,,,,,,,,,,,,72,60,34,94
306,teejayx6,,,,,,,,,,,,,,,,,2,6,5,11
307,vic mensa,,,,,,,,,,,,,,,,,6,61,22,83
308,smokepurpp,,,,,,,,,,,,,,,,,2,58,25,83
309,dizzy wright,,,,,,,,,,,,,,,,,29,41,33,74
310,rockie fresh,,,,,,,,,,,,,,,,,29,17,10,27
311,lex luger,,,,,,,,,,,,,,,,,2,16,53,69
312,almighty jay,,,,,,,,,,,,,,,,,2,11,27,38
313,dom kennedy,,know,love,ain't,come,got,doors,slamming,chevy,yeah,ya,around,wanna,go,money,remind,2,63,110,173
314,yung6ix,,,,,,,,,,,,,,,,,6,7,11,18
315,lil scrappy,,,,,,,,,,,,,,,,,28,80,21,101
316,blackbear,,,,,,,,,,,,,,,,,2,80,18,98
317,madeintyo,,,,,,,,,,,,,,,,,2,26,23,49
318,nasty c,,,,,,,,,,,,,,,,,6,45,17,62
319,roy woods,,,,,,,,,,,,,,,,,2,42,68,110
320,lil pump,,,,,,,,,,,,,,,,,2,86,28,114
321,dmx,,niggas,yo,know,hood,nigga,say,cause,dog,gon',goodbye,think,i'ma,untouchable,go,today,28,185,30,215
322,24kgoldn,,,,,,,,,,,,,,,,,2,28,16,44
